GEO_ID,NAME,S1902_C01_001E
id,Geographic Area Name,Total!!Estimate!!All households
0500000US36055,"Monroe County, New York",298715
0500000US36059,"Nassau County, New York",441732
0500000US36061,"New York County, New York",746686
0500000US36063,"Niagara County, New York",88995
0500000US36065,"Oneida County, New York",90571
0500000US36067,"Onondaga County, New York",185985
0500000US36069,"Ontario County, New York",44328
0500000US36071,"Orange County, New York",125228
0500000US36075,"Oswego County, New York",45480
0500000US36079,"Putnam County, New York",34050
0500000US36081,"Queens County, New York",780349
0500000US36083,"Rensselaer County, New York",64581
0500000US36085,"Richmond County, New York",163468
0500000US36087,"Rockland County, New York",97934
0500000US36089,"St. Lawrence County, New York",42436
0500000US36091,"Saratoga County, New York",87414
0500000US36093,"Schenectady County, New York",57463
0500000US36101,"Steuben County, New York",41597
0500000US36103,"Suffolk County, New York",496353
0500000US36105,"Sullivan County, New York",29222
0500000US36109,"Tompkins County, New York",38269
0500000US36111,"Ulster County, New York",70353
0500000US36113,"Warren County, New York",27530
0500000US36117,"Wayne County, New York",37027
0500000US36119,"Westchester County, New York",340097
0500000US37001,"Alamance County, North Carolina",59520
0500000US37019,"Brunswick County, North Carolina",46433
0500000US37021,"Buncombe County, North Carolina",99152
0500000US37023,"Burke County, North Carolina",33762
0500000US37025,"Cabarrus County, North Carolina",64459
0500000US37027,"Caldwell County, North Carolina",33009
0500000US37031,"Carteret County, North Carolina",28346
0500000US37035,"Catawba County, North Carolina",59291
0500000US37037,"Chatham County, North Carolina",26023
0500000US37045,"Cleveland County, North Carolina",36818
0500000US37049,"Craven County, North Carolina",40570
0500000US37051,"Cumberland County, North Carolina",122446
0500000US37057,"Davidson County, North Carolina",63527
0500000US37063,"Durham County, North Carolina",113769
0500000US37067,"Forsyth County, North Carolina",141427
0500000US37071,"Gaston County, North Carolina",79973
0500000US37081,"Guilford County, North Carolina",199110
0500000US37085,"Harnett County, North Carolina",41208
0500000US37089,"Henderson County, North Carolina",44549
0500000US37097,"Iredell County, North Carolina",58660
0500000US37101,"Johnston County, North Carolina",60696
0500000US37109,"Lincoln County, North Carolina",31298
0500000US37119,"Mecklenburg County, North Carolina",365887
0500000US37125,"Moore County, North Carolina",37060
0500000US37127,"Nash County, North Carolina",36099
0500000US37129,"New Hanover County, North Carolina",85092
0500000US37133,"Onslow County, North Carolina",61842
0500000US37135,"Orange County, North Carolina",52139
0500000US37147,"Pitt County, North Carolina",69741
0500000US37151,"Randolph County, North Carolina",55050
0500000US37155,"Robeson County, North Carolina",46555
0500000US37157,"Rockingham County, North Carolina",38261
0500000US37159,"Rowan County, North Carolina",51406
0500000US37161,"Rutherford County, North Carolina",27506
0500000US37171,"Surry County, North Carolina",29063
0500000US37179,"Union County, North Carolina",68592
0500000US37183,"Wake County, North Carolina",357684
0500000US37191,"Wayne County, North Carolina",47554
0500000US37193,"Wilkes County, North Carolina",28646
0500000US37195,"Wilson County, North Carolina",31762
0500000US38015,"Burleigh County, North Dakota",35200
0500000US38017,"Cass County, North Dakota",66335
0500000US38035,"Grand Forks County, North Dakota",28198
0500000US39003,"Allen County, Ohio",40366
0500000US39007,"Ashtabula County, Ohio",39008
0500000US39013,"Belmont County, Ohio",28549
0500000US39017,"Butler County, Ohio",132861
0500000US39023,"Clark County, Ohio",54288
0500000US39025,"Clermont County, Ohio",75465
0500000US39029,"Columbiana County, Ohio",42499
0500000US39035,"Cuyahoga County, Ohio",529284
0500000US39041,"Delaware County, Ohio",65046
0500000US39043,"Erie County, Ohio",31739
0500000US39045,"Fairfield County, Ohio",54370
