RegionName,StateName,CountyID,AverageSalesPrice2019  ,AverageSalesPrice2020
"Franklin, IN",Indiana,18081,155567,170000
"Mogadore, OH",Ohio,39153,155575,156833
"Hilton, NY",New York,36055,155642,176167
"Neenah, WI",Wisconsin,55139,155783,170667
"Bangor, ME",Maine,23019,155933,158767
"Troy, OH",Ohio,39109,155942,170833
"Oxford, NC",North Carolina,37077,155942,153100
"Pensacola, FL",Florida,12033,156000,172633
"Roanoke, VA",Virginia,51770,156000,188000
"Davison, MI",Michigan,26049,156242,157000
"Walled Lake, MI",Michigan,26125,156308,156300
"Pasadena, TX",Texas,48201,156392,165400
"New London, CT",Connecticut,9011,156567,138767
"Aiken, SC",South Carolina,45003,156650,173400
"Glens Falls, NY",New York,36113,156708,161750
"Umatilla, FL",Florida,12069,156708,152150
"Algonac, MI",Michigan,26147,156717,175567
"Salisbury, MD",Maryland,24045,157000,167733
"Norton Shores, MI",Michigan,26121,157175,181700
"King, NC",North Carolina,37169,157408,154600
"Colonial Park, PA",Pennsylvania,42043,157450,168333
"Wilmington, IL",Illinois,17197,157508,184467
"Lugoff, SC",South Carolina,45055,157517,161667
"Biloxi, MS",Mississippi,28047,157592,164650
"Johnson City, TN",Tennessee,47179,157650,166333
"Belton, MO",Missouri,29037,157675,175967
"Deerfield Beach, FL",Florida,12011,157908,182250
"Dunnellon, FL",Florida,12083,157917,160400
"Griffith, IN",Indiana,18089,157933,166800
"Greenbrier, AR",Arkansas,5045,157942,184067
"Harvey, LA",Louisiana,22051,157958,164400
"Greensboro, NC",North Carolina,37081,157967,163067
"Highland, IL",Illinois,17119,157983,137467
"Cambridge, MD",Maryland,24019,158025,122767
"Hot Springs, AR",Arkansas,5051,158100,193700
"Sterling, CO",Colorado,8075,158133,189400
"Waupaca, WI",Wisconsin,55135,158300,168867
"Columbus, OH",Ohio,39049,158325,175500
"Pottstown, PA",Pennsylvania,42091,158508,175500
"Alsip, IL",Illinois,17031,158592,158200
"Baytown, TX",Texas,48201,158600,164067
"McAllen, TX",Texas,48215,158733,174000
"New Market, AL",Alabama,1089,158750,199533
"Conway, AR",Arkansas,5045,158758,172200
"Riverview, MI",Michigan,26163,158758,162467
"Balch Springs, TX",Texas,48113,158783,175400
"Portage, WI",Wisconsin,55021,158975,168933
"Statesville, NC",North Carolina,37097,159083,172633
"Conover, NC",North Carolina,37035,159275,146867
